Zone,Size,Ready,Middle,Not Ready
1,208,73,7,20
2,209,89,5,6
3,147,96,2,2
4,151,87,5,8
5,201,77,6,16
6,169,92,4,4
7,174,84,6,10
8,218,75,11,13
9,160,91,3,7
10,162,79,6,15
11,167,78,8,14
12,216,79,6,15
13,106,77,4,19
14,258,70,6,24
15,206,74,7,19